,names,links,links_total,links_path
58,Goiás - GO,images/goias.png,https://www.escudosfc.com.br/images/goias.png,logo_images/images/goias.png
59,Grêmio Porto Alegre,images/gremio.png,https://www.escudosfc.com.br/images/gremio.png,logo_images/images/gremio.png
60,Gremio Anápolis ,images/gremio_anapolis.png,https://www.escudosfc.com.br/images/gremio_anapolis.png,logo_images/images/gremio_anapolis.png
61,Grêmio Novorizontino,images/novorizontino_novo.jpg,https://www.escudosfc.com.br/images/novorizontino_novo.jpg,logo_images/images/novorizontino_novo.jpg
62,Guarani - SP,images/guarani.gif,https://www.escudosfc.com.br/images/guarani.gif,logo_images/images/guarani.gif
63,Humaitá,images/humaita_ac.png,https://www.escudosfc.com.br/images/humaita_ac.png,logo_images/images/humaita_ac.png
64,Icasa,images/icasa_ce.png,https://www.escudosfc.com.br/images/icasa_ce.png,logo_images/images/icasa_ce.png
65,Internacional,images/interrs.png,https://www.escudosfc.com.br/images/interrs.png,logo_images/images/interrs.png
66,Internacional Limeira,images/intl.png,https://www.escudosfc.com.br/images/intl.png,logo_images/images/intl.png
67,Iporá,images/ipora_go.png,https://www.escudosfc.com.br/images/ipora_go.png,logo_images/images/ipora_go.png
68,Ituano,images/ituano.png,https://www.escudosfc.com.br/images/ituano.png,logo_images/images/ituano.png
69,Jacuipense,images/jacuipense_ba.jpg,https://www.escudosfc.com.br/images/jacuipense_ba.jpg,logo_images/images/jacuipense_ba.jpg
70,Juazeirense,images/juazeirense_ba.png,https://www.escudosfc.com.br/images/juazeirense_ba.png,logo_images/images/juazeirense_ba.png
71,Juventude - RS,images/juventude.png,https://www.escudosfc.com.br/images/juventude.png,logo_images/images/juventude.png
72,Juventude,images/juventude_ma.png,https://www.escudosfc.com.br/images/juventude_ma.png,logo_images/images/juventude_ma.png
73,Juventus,images/juventus_sc.png,https://www.escudosfc.com.br/images/juventus_sc.png,logo_images/images/juventus_sc.png
74,Lagarto,images/lagarto_se.png,https://www.escudosfc.com.br/images/lagarto_se.png,logo_images/images/lagarto_se.png
75,Londrina,images/londrina_pr.png,https://www.escudosfc.com.br/images/londrina_pr.png,logo_images/images/londrina_pr.png
76,Manaus,images/manaus_fc.png,https://www.escudosfc.com.br/images/manaus_fc.png,logo_images/images/manaus_fc.png
77,Marcilio Dias,images/marcilio_dias_sc.png,https://www.escudosfc.com.br/images/marcilio_dias_sc.png,logo_images/images/marcilio_dias_sc.png
78,Mirassol,images/mirassol.jpg,https://www.escudosfc.com.br/images/mirassol.jpg,logo_images/images/mirassol.jpg
79,Moto Club-MA,images/moto.jpg,https://www.escudosfc.com.br/images/moto.jpg,logo_images/images/moto.jpg
